,UserName,StarRatings,ReviewTitle,ReviewText,ReviewTime
0,Jean Metzger,1.0 out of 5 stars,Don’t buy,  This item doesn’t have a lot number or expiration date. My face has broken out ever since using this. I didn’t put two and two together until I got a new one from my dermotologist. See photo. The one that is from my dermotologist has a lot # and expiration date.," November 17, 2017"
1,Epictetus,1.0 out of 5 stars,Beware: Contains Octinoxate,"  I discovered too late that this contains Octinoxate, an established endocrine disruptor, rated 5 by EWG. It's also harmful to corals and implicated in coral bleaching, and sunscreens containing octinoxate are now banned in Hawaii. Extremely disappointing to find it in a respected brand. Stick with zinc oxide: there are lots of great alternative bio and eco-friendly brands. From Campaign for Safe Cosmetics: ""Octinoxate, also called Octyl methoxycinnamate or (OMC), is a UV filter. It can be absorbed rapidly through skin. Octinoxate has been detected in human urine, blood and breast milk, which indicates that humans are systemically exposed to this compound. Octinoxate is an endocrine disruptor that mimics estrogen and can disrupt thyroid function."""," August 24, 2020"
2,Jrodriguez,5.0 out of 5 stars,Great for dark skin!  No cast!,  I’m very glad that I took a chance on the sunscreen! I was a bit skeptical due to the mixed reviews and there weren’t very many reviews that talked about whether there would be a white cast on dark skin. This product rubs on very smoothly and you can’t even feel that it’s there. My make up blends flawlessly with this underneath. This is the best sunscreen I’ve ever use on my face! It’s so thin and moisturizing. A little goes a long way so if you have a white cast you may have used too much.  I have deep brown skin and there is no cast left.," July 5, 2020"
3,Karen,5.0 out of 5 stars,Best sunscreen product for UVA/UVB and with amazing formula,"  La Roche Posay Anthelios has been my holy grail for years, but at some point, I wanted my sunscreen to have something else, so I switched to ELTA 46 SPF. Amazon is now an authorized retailer, so for those reviews saying there are counterfeit / fake products, it's not like that anymore! ELTA has some of the best ingredients in sunscreen you can imagine. Well, in any skincare product :)  If you are looking for a good sunscreen, with extra benefits, go for this one. One of the best things is the coverage and protection. In Europe/Asia, most sunscreens have high rates both for UVA and UVB, but in the US, the main standard is SPF for UVB (rays causing burning, primarily), but not so much for UVA (UVA rays account for up to 95% of the UV radiation reaching the Earth's, and penetrates more deeply in the skin being more associated with aging process). Well, ELTA is one of those strange products (in the good sense) offering high protection for both, it does not leave a white cast, and it has ammaaaazing ingredients: Niacinamide comes high in the formulation (5%, as much as the overpriced NIA-24), and it's an all time star ingredient (antioxidant, brightens skin tone, treats hyperpigmentation, increases collagen, anti-inflammatory., etc), plus vitamin e, hyaluronic acid. Seriously, this lotion is game-changer, and very affordable for how good the formula is!"," February 10, 2018"
4,RunnerDude,4.0 out of 5 stars,Amazon IS an authorized resller,"  To all the people worried about getting a knock off product: I contacted EltaMD directly and Amazon IS an authorized reseller. I would just make sure you're actually buying it from Amazon, not another party and Amazon is just shipping it.The product is pretty good, doesn't make my face greasy. Unfortunately it doesn't really have any moisturizing benefits so I have to use it with a moisturizer. Also has a faint scent, bot not as bad as other sunscreens."," March 29, 2018"
5,Amazon Customer,1.0 out of 5 stars,Test this on a small area first!!,"  I bought this per my dermatologist’s recommendation to work as a sunscreen and moisturizer for my rosacea, and it made me break out horribly. I used it 1-2 times per day for a week or two and felt it might be making me break out, so stopped with the hope I could at least use it on vacation as a sunblock. When I did this, applying multiple times per day, I thought I had gotten sunburned, when in actuality my face was just red, swollen, and pimply from this lotion - it all subsided a day or two after I stopped using it. I switched to normal Coppertone and had no problems with burn or breakouts after that. I have never had a reaction to any product as severe as I did this one, which is odd considering it is supposedly designed for sensitive skin types, so beware!"," May 14, 2018"
6,John Galt,5.0 out of 5 stars,I Never Used Moisturizer Until I Discovered EltaMD.  WARNING!,"  I really like this SPF cream. First of all it doesn't smell 'perfumey' - it might have a hint of suntan lotion smell, but it's really faint. Second this cream is NOT GREASY and disappears fast - even though it has 9% zinc oxide. Third it has 46+ SPF with 7.5 Octinoxate to slow burning. I've finally had to admit that I need a strong SPF; given past brushes with melanoma and the sincere desire to not have the hide of an alligator. And while not inexpensive, this is far less than the cost of a lot of the better-quality moisturizers for men. You usually get exactly what you pay for and this is worth every penny. Finally, my better half tells me that this company doesn't test on animals. I believe that's a good thing. ;-)WARNING:  Many buyers have received fake products from other sellers.  Buy only when sold and shipped by Amazon!  The authentic product will have a flat sloping pump top that is shown in the attached photo.  The fake products have a rounded top.Pros:• Non greasy formula that easily absorbs into skin• Odorless and transparent• 9% Zinc Oxide provides long lasting protection• 7+% Octinoxate to reduce burning by dispersing UVB rays• Tested reliable 30+ SPF• UVA/UVB sun protectionCons:• More expensive than drug-store brands"," June 1, 2017"
7,DLC,1.0 out of 5 stars,"Yeowtch - itching, burning, then rash!","  I can't attest to the efficacy of the product, just posting to say, I had negative reactions to it. I have just crested the high side of mid-40s and really wanted to find a good daily sun protectant to guard against [further] aging. This was so well-reviewed, I chose it over the next closest contenders, Roche-Posay products (which I usually love).Unfortunately, the first week of using it, I began to get tiny bumps on my face (not visible to the naked eye, but easily perceived with fingertips when washing or applying moisturizer). I had also been using a new 'flavor' of body lotion, so I went back to my basic tried-and-true products to let everything calm down for a bit, and try to definitively eliminate the culprit.After two weeks, I again applied this on two successive days when I'd be out in the sun for an extended period. On Day 1, once I'd gotten outside and had started perspiring, my neck began burning, then itching maddeningly -- I was only outside in my yard gardening, so ran inside and I washed it thoroughly off my neck.  My face seemed okay, so I left it there, and applied the product again to my ears and face (no neck) on Day 2 when heading out for a long weekend walk.This time, again once I'd gotten outside and started perspiring, the product started burning and itching around my eyebrows and general eye area.  I washed it off as best I could at the next public water fountain.The next day, I began to show itchy, painful swollen patches on my face, ears, and throat (the latter pictured as best I could, but it was difficult to shoot an area I couldn't see!)  This time, there had been no other 'new to me' product used, nor was there anything else that I carefully applied to ears/face/throat, all areas that then became rashy....So alas, not a product I can use, and alas for the waste of a significant amount of money. >:/  I've used other physical sunscreens in the past (eg Badger) without any issues, so it must be some substance in the cream besides that causing the problem."," June 7, 2019"
8,Henshaw,1.0 out of 5 stars,Allergic reaction,  Used once. Caused reaction on face and  broke out in hives. (See picture) Im unsure what ingredient would have caused such a severe reaction. Discontinued use and swelling and hives went away within 24 hours. Be careful.," June 17, 2019"
9,Pen Name,1.0 out of 5 stars,Disappointed Amazon Should Remove This Product,"  I agree Amazon should not sell this product. It should be removed from the list right away. I had melanoma several years ago. And bought this thinking I was making the best decision to protect my skin. I had an allergic reaction, I thought there was something wrong with my blood pressure. The next day my face was covered in welts. My fave still is itching and burning. DO NOT BUY THIS. Protect yourself and your skin."," March 26, 2019"
